	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
2261	335	27	着	u	AUX	uz	AUX	AS	4	1	3	49	274.6428571428572	152.15950613130437	4.063835144042969	17.14982795715332	1	4303.0	0.6842105263157895	19	57.0	2	False	False	175.85714285714286	82.07142857142857	99.50007691515846	131.4770291103106
2262	336	27	的	u	PART	uj	PART		5	2	3	13	196.8571428571429	201.99747422142863	1.2876644134521484	11.74444580078125	1	77946.0	0.7368421052631579	19	4303.0	1	False	False	108.14285714285714	63.92857142857143	106.06524753515583	96.96498947389964
2263	337	27	画作	n	NOUN	n	NOUN	NN	6	1	3	336	495.2142857142857	202.7011095083556	13.672790050506592	33.87222766876221	2	0.0	0.7894736842105263	19	77946.0	1	False	False	222.92857142857144	191.7142857142857	105.11861618851228	155.27874869381955
2264	338	27	第1号	n	NOUN	-	NOUN		7	3	2	267	367.07142857142856	316.59809228865595	24.26139783859253	42.009743213653564	3	0.0	0.8421052631578947	19	0.0	2	False	False	166.78571428571428	114.92857142857144	94.86319365383017	163.6954769798893
2265	339	27	给	p	ADP	p	ADP		8	1	3	32	62.92857142857143	89.68155112532843	10.31757354736328	22.34803771972656	1	1222.0	0.8947368421052632	19	0.0	3	False	False	62.92857142857143	0.0	89.68155112532843	0.0
2266	340	27	他	r	PRON	r	PRON	PRP	9	1	2	28	66.07142857142857	111.50302000119886	2.129974842071533	12.347817420959473	1	5536.999999999999	0.9473684210526316	19	1222.0	1	False	False	66.07142857142857	0.0	111.50302000119886	0.0
2267	341	27	看。	v	VERB	v	VERB	VV	10	10	1	118	131.07142857142858	177.14097061207426	5.715705871582031	22.04822015762329	1	1439.9999999999998	1.0	19	5536.999999999999	1	False	True	94.28571428571428	22.785714285714285	108.76608490007258	55.82904846996073
2268	342	28	我	r	PRON	r	PRON	PRP	2	2	1	79	49.0	66.84309986827361	6.059394359588623	10.525071144104004	1	5517.999999999999	0.1111111111111111	9	-1.0	-1	False	False	49.0	0.0	66.84309986827361	0.0
2269	343	28	想	v	VERB	v	VERB		1	1	1	34	118.57142857142856	252.0568853838112	5.46598482131958	6.514965057373047	1	958.0	0.2222222222222222	9	5517.999999999999	1	False	False	85.85714285714286	13.142857142857142	227.24148802001588	47.38724533466957
2270	344	28	知道	v	VERB	v	VERB	VV	0	0	0	461	209.1428571428572	221.36777967344528	4.328017148654908	8.249995112419128	2	709.0	0.3333333333333333	9	958.0	1	False	False	123.28571428571428	35.57142857142857	90.31803219056265	66.68445340955127
2271	345	28	他	r	PRON	r	PRON	PRP	1	4	2	28	145.57142857142858	152.83077209109155	7.584969520568848	8.623238563537598	1	5536.999999999999	0.4444444444444444	9	709.0	2	False	False	129.35714285714286	16.214285714285715	120.69773766542195	58.46143853788039
2272	346	28	能	vu	AUX	v	AUX		2	3	2	96	189.3571428571429	126.3581119239267	7.545849323272705	9.168582916259766	1	1507.9999999999998	0.5555555555555556	9	5536.999999999999	1	False	False	160.92857142857142	25.857142857142858	99.17478386718088	65.29587292017898
2273	347	28	不	d	ADV	d	ADV	RB	3	2	2	1105	34.57142857142857	67.33574118413138	2.31893277168274	12.224634170532228	1	4915.0	0.6666666666666666	9	1507.9999999999998	1	False	False	34.57142857142857	0.0	67.33574118413138	0.0
2274	348	28	能	vu	AUX	v	AUX		4	1	2	96	119.57142857142856	173.11668826286518	0.0078864367678761	5.1927642822265625	1	1507.9999999999998	0.7777777777777778	9	4915.0	1	False	False	72.42857142857143	47.142857142857146	99.8511136540759	92.5741842623349
2275	349	28	看	v	VERB	v	VERB	VV	5	5	1	118	67.64285714285714	120.64446416928494	5.052031517028809	14.083946228027344	1	1439.9999999999998	0.8888888888888888	9	1507.9999999999998	1	False	False	67.64285714285714	0.0	120.64446416928494	0.0
2276	350	28	懂。	v	VERB	v	VERB	VV	6	1	2	5	147.64285714285714	122.78529876103546	9.46153736114502	17.035320281982422	1	74.00000000000001	1.0	9	1439.9999999999998	1	False	True	114.85714285714286	32.785714285714285	82.9241108681022	71.08162166675372
2277	351	29	但	c	CCONJ	c	CCONJ		4	4	1	8	11.214285714285714	40.43368216056045	11.580770492553713	9.743324279785156	1	1670.0	0.0909090909090909	11	-1.0	-1	False	False	11.214285714285714	0.0	40.43368216056045	0.0
2278	352	29	大人	n	NOUN	n	NOUN	NN	3	3	1	3040	216.07142857142856	211.85421681824857	15.60007095336914	17.175189971923828	2	33.0	0.1818181818181818	11	1670.0	1	False	False	129.28571428571428	78.92857142857143	128.18147212416608	94.75115098110892
2279	353	29	总是	d	ADV	c	ADV		2	2	1	237	193.07142857142856	146.74830945033273	8.522762596607208	39.61091327667236	2	230.0	0.2727272727272727	11	33.0	2	False	False	121.28571428571428	71.78571428571429	98.71201155122812	98.7942874081786
