	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
678	686	55	路	n	NOUN	n	NOUN	NN	2	4	2	189	118.8	120.27313360292342	1	192.0	路	118.8	0.0	120.27313360292342	0.0
679	687	55	的	u	PART	uj	PART		3	3	2	13	147.13333333333333	167.18806443310746	1	77946.0	的	100.93333333333334	35.46666666666667	92.317182703017	90.99660555329643
680	688	55	一	m	NUM	m	NUM	CD	4	1	3	1473	87.33333333333333	133.78373925439854	1	8489.0	一	73.33333333333333	14.0	107.73774743432418	52.38320341483518
681	689	55	个	q	DET	q	DET		5	1	2	99	122.66666666666669	238.20486047844528	1	3297.9999999999995	个	96.6	26.066666666666663	177.23348065945854	97.5325358819074
682	690	55	孩子。	n	NOUN	n	NOUN	NN	6	6	1	217	123.46666666666668	145.21104947244507	2	416.0	孩子	77.4	29.933333333333334	92.95360850087172	65.63786170259425
683	691	56	我	r	PRON	r	PRON	PRP	3	2	2	79	29.2	74.46001163935803	1	5517.999999999999	我	29.2	0.0	74.46001163935803	0.0
684	692	56	终于	d	ADV	d	ADV	RB	2	2	1	202	220.6	152.22737379766275	2	162.99999999999997	终于	160.8	35.8	101.26085127037004	62.99439128472735
685	693	56	能	vu	AUX	v	AUX		1	1	1	96	146.66666666666666	158.18203297326644	1	1507.9999999999998	能	111.6	35.06666666666667	108.09921368816704	89.76299658297708
686	694	56	说话	v	VERB	v	VERB	VV	0	0	0	188	145.33333333333334	104.35942165846303	2	161.0	说话	125.6	19.73333333333333	88.97999775230386	52.28698584627812
687	695	56	了，	u	PART	ul	PART	AS	1	1	1	27	33.06666666666667	61.00105645715399	1	13624.0	了	28.866666666666667	4.2	53.08341444263819	15.714961024450552
688	696	56	我	r	PRON	r	PRON	PRP	2	2	2	79	12.733333333333333	39.89397058314564	1	5517.999999999999	我	12.733333333333333	0.0	39.89397058314564	0.0
689	697	56	就	d	ADV	d	ADV	RB	3	1	2	84	163.53333333333333	161.90526722610218	1	4703.0	就	151.66666666666666	11.866666666666667	147.20990304852305	44.40100098971743
690	698	56	问	v	VERB	n	VERB	VV	4	4	1	68	152.33333333333334	167.7933914736281	1	471.0	问	134.13333333333333	18.2	154.3156361343709	68.09816443928575
691	699	56	他：	r	PRON	r	PRON	PRP	5	1	2	28	96.13333333333334	95.2329541469525	1	5536.999999999999	他	93.6	2.533333333333333	91.81633841533868	9.478865379827315
692	700	56	“可是……	c	CCONJ	c	CCONJ		6	2	3	325	382.26666666666665	151.2875701731272	2	527.0	可是	185.3333333333333	129.33333333333334	45.24108260812904	106.89849806657196
693	701	56	你	r	PRON	r	PRON	PRP	7	1	4	21	130.26666666666668	200.2872825607147	1	3011.0	你	95.26666666666668	35.0	140.75674840739333	88.00530287052783
694	702	56	想	v	VERB	v	VERB		8	1	3	34	262.6	161.75405198428055	1	958.0	想	193.4	61.93333333333333	90.7280184581	89.14667065510011
695	703	56	干嘛？”	v	VERB	n	VERB	VV	9	1	4	266	214.6	142.60752668308453	2	9.0	干嘛	138.6	58.6	92.50715287659293	81.5637174238644
696	704	57	他	r	PRON	r	PRON	PRP	2	2	1	28	86.8	143.12102105095065	1	5536.999999999999	他	56.4	25.2	78.55766459529374	94.28976614670331
697	705	57	又	d	ADV	d	ADV	RB	1	1	1	13	107.33333333333331	121.65725991032714	1	2691.0000000000005	又	107.33333333333331	0.0	121.65725991032714	0.0
698	706	57	说	v	VERB	v	VERB	VV	0	0	0	134	6.533333333333333	24.44549492692308	1	3707.0	说	6.533333333333333	0.0	24.44549492692308	0.0
699	707	57	了	u	PART	ul	PART	AS	1	1	1	27	136.0	104.2688831818966	1	13624.0	了	136.0	0.0	104.2688831818966	0.0
700	708	57	一	m	NUM	m	NUM	CD	2	1	3	1473	105.8	134.28785003367457	1	8489.0	一	78.8	27.0	89.55236829178035	70.25762117616375
701	710	57	遍，	q	DET	v	DET		3	8	2	12	45.93333333333333	73.17692411014704	1	69.0	遍	45.93333333333333	0.0	73.17692411014704	0.0
702	711	57	声音	n	NOUN	n	NOUN	NN	4	2	3	358	155.73333333333332	210.1854630769904	2	255.0	声音	111.8	24.73333333333333	131.17733544074346	64.76878534877395
703	712	57	很	d	ADV	zg	ADV	RB	5	1	3	10	101.93333333333334	119.9630313425302	1	1754.9999999999998	很	95.33333333333331	6.6	109.74191946967618	24.69493875270801
704	714	57	轻柔，	a	ADJ	a	ADJ	JJ	6	3	2	398	208.2	191.5885174012264	2	0.0	轻柔	146.53333333333333	48.53333333333333	109.77119638391282	82.56945897579538
705	715	57	像	v	VERB	v	VERB	VV	7	7	1	21	82.6	143.61931160768967	1	325.0	像	69.53333333333333	13.066666666666666	108.60562702835531	48.890989853846186
706	716	57	在	p	ADP	p	ADP	IN	8	1	3	175	87.13333333333334	145.99902587194052	1	12434.0	在	75.26666666666667	11.866666666666667	116.0376184213072	44.40100098971743
707	717	57	说	v	VERB	v	VERB	VV	9	2	2	134	63.333333333333336	100.04243544061134	1	3707.0	说	63.333333333333336	0.0	100.04243544061134	0.0
708	718	57	一	m	NUM	m	NUM	CD	10	3	4	1473	87.86666666666666	134.268818254856	1	8489.0	一	77.86666666666666	10.0	118.42908801848004	37.416573867739416
709	719	57	件	q	DET	zg	DET		11	2	4	8	145.2	193.78379705228195	1	301.0	件	90.53333333333332	54.66666666666666	118.68157209759045	95.40067551589397
710	720	57	大	a	ADJ	a	ADJ		12	1	4	2294	83.46666666666667	137.1533772420092	1	2188.0	大	69.6	13.866666666666667	96.9355799831345	51.88431576326532
711	721	57	事情。	n	NOUN	n	NOUN	NN	13	4	3	341	152.2	119.04632151673847	2	226.0	事情	118.86666666666666	33.333333333333336	83.80522391566981	66.89261709801929
712	722	58	“请……	v	VERB	v	VERB	VV	7	7	1	39	205.4	102.10112634050614	1	284.0	请	179.06666666666666	16.266666666666666	81.321966418811	30.40716289882296
