	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
39	3996	293	长	v	VERB	a	VERB	VV	0	0	0	805	151.93333333333334	161.85897840060923	1	597.0	长	117.26666666666668	19.0	117.75084807432268	42.82522621072771
40	3997	293	好	a	ADJ	a	ADJ		1	1	2	253	267.2	283.7403037990902	1	1325.0	好	173.2	74.46666666666667	147.90095785130444	109.8052012530473
41	3998	293	植物，	n	NOUN	n	NOUN	NN	2	2	1	228	257.46666666666664	235.1189391681486	2	212.0	植物	157.6	47.4	90.72728365822488	97.22057395428192
42	3999	293	坏	a	ADJ	a	ADJ		3	1	3	26	93.13333333333334	177.93851622275474	1	82.0	坏	66.0	24.8	113.90054140930734	64.16977481649752
43	4000	293	种子	n	NOUN	n	NOUN	NN	4	1	2	298	268.1333333333333	226.6312325244593	2	88.00000000000001	种子	166.8	70.73333333333333	86.79339452592768	92.5638278282733
44	4001	293	长	v	VERB	a	VERB	VV	5	5	1	805	220.8	203.8601481408272	1	597.0	长	191.3333333333333	29.466666666666665	184.4702927001768	76.53222995720314
45	4002	293	坏	a	ADJ	a	ADJ		6	1	3	26	159.0	160.7436883156951	1	82.0	坏	132.6	26.4	117.87778982205823	98.77975501083203
46	4003	293	植物。​	n	NOUN	n	NOUN	NN	7	2	2	228	65.13333333333334	180.1802307567497	2	212.0	植物	35.266666666666666	29.866666666666667	90.69249632074798	111.75083395164836
47	4004	294	但是，	c	CCONJ	c	CCONJ		4	4	1	37	192.3333333333333	184.2681620778684	2	803.0	但是	118.73333333333332	58.06666666666667	83.07704590051065	99.19372740025226
48	4005	294	种子	n	NOUN	n	NOUN	NN	1	1	1	298	327.6	262.4278440511474	2	88.00000000000001	种子	183.9333333333333	59.6	90.9303518572808	104.81463002208552
49	4006	294	是	vl	VERB	v	VERB		0	0	0	29	207.6	184.62603644484523	1	12403.0	是	115.86666666666666	80.33333333333333	106.03324426277304	96.95199270200118
50	4007	294	看	v	VERB	v	VERB	VV	1	1	1	118	73.2	117.14048545798902	1	1439.9999999999998	看	67.26666666666667	5.933333333333334	104.37654057412624	22.20050049485872
51	4008	294	不	d	ADV	d	ADV	RB	2	1	3	1105	118.0	134.25746410038687	1	4915.0	不	113.33333333333331	4.666666666666667	125.29148237432406	17.461067804945053
52	4009	294	见	v	VERB	v	VERB	VV	3	2	2	134	87.4	103.33815042535517	1	505.0	见	82.06666666666666	5.333333333333333	98.0268443959216	19.95550606279436
53	4010	294	的。	u	PART	uj	PART		4	4	1	13	58.0	78.7172153979039	1	77946.0	的	49.93333333333333	8.066666666666666	63.57721464661866	30.18270291997646
54	4011	295	它们	r	PRON	r	PRON		9	9	1	4	158.86666666666667	169.2792039468785	2	589.9999999999999	它们	106.46666666666668	38.06666666666667	95.68132291913378	76.97745701755086
55	4012	295	秘密地	n	NOUN	-	ADV		8	1	2	720	515.5333333333333	315.14311387403376	3	0.0	秘密地	233.2	165.8	97.3832292200938	158.61660274595047
56	4013	295	睡	v	VERB	v	VERB	VV	7	7	1	33	108.2	105.42940766218882	1	116.0	睡	100.53333333333332	7.666666666666667	100.04656693538044	28.68603996526688
57	4014	295	在	p	ADP	p	ADP		6	1	3	175	64.2	195.4434956707437	1	12434.0	在	29.0	15.6	74.66458330426816	58.36985523367349
58	4015	295	土壤	n	NOUN	n	NOUN	NN	5	2	2	297	82.06666666666666	114.73823348048472	2	110.0	土壤	65.2	16.866666666666667	93.59216491423486	49.93177567663924
59	4016	295	里，	nd	NOUN	f	NOUN		4	1	3	334	70.6	110.72416177149412	1	1968.0	里	55.0	15.6	82.18840145259752	40.372928223418896
60	4017	295	直到	v	VERB	v	VERB		1	1	1	277	183.86666666666667	138.75295392251013	2	111.0	直到	157.26666666666668	26.6	123.22470892190776	54.50113148672543
61	4018	295	有	v	VERB	v	VERB	VV	0	0	0	482	27.066666666666663	69.25360800869672	1	5604.000000000001	有	27.066666666666663	0.0	69.25360800869672	0.0
