	WORD	SENTENCE	IA_LABEL	TOTAL_DURATION	STD_TOTAL_DURATION	n_in_sent	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
2263	2306	128	講：	33.733333333333334	80.43255283500304	5	VERB	VERB	zg	VERB	VV	0	0	0	238	1	2901.43287	講	33.733333333333334	0.0	80.43255283500304	0.0
2264	2308	128	「小王子	162.4	141.09372771317652	6	PROPN	PROPN	nr	PROPN		2	1	2	395	3	0.0	小王子	99.06666666666666	63.333333333333336	87.445576725692	79.35545909947776
2265	2309	128	存在	328.53333333333336	253.98762874509373	7	VERB	VERB	v	VERB	VV	3	3	1	29	2	150.7453	存在	178.33333333333334	87.53333333333333	111.14475046332848	104.9824535603715
2266	2310	128	嘅	145.66666666666666	110.3314199229858	8	PART	PART	x	PART		4	1	3	1	1	15735.49004	嘅	139.6	6.066666666666666	104.75418846041433	22.69938814642857
2267	2311	128	證據	379.4666666666666	251.3538983628904	9	NOUN	NOUN	n	NOUN	NN	5	2	2	21	2	16.97955	證據	178.2	106.46666666666668	87.70800039525089	112.82840461908911
2268	2312	128	就係	226.9333333333333	188.3275397338961	10	ADV	ADV	-	ADV		6	3	4	101	2	0.0	就係	141.8	73.0	85.03818750028327	111.9118700883274
2269	2313	128	佢	94.33333333333331	125.7784648587437	11	PRON	PRON	x	PRON		7	2	4	1	1	21111.38214	佢	79.86666666666666	14.466666666666669	98.94703409175818	54.12931019532968
2270	2314	128	好	220.13333333333333	187.20750222383955	12	ADV	ADV	a	ADV	RB	8	1	4	312	1	10788.64225	好	148.66666666666666	53.93333333333333	104.79164512922245	92.5249275720993
2271	2315	128	有	126.2	213.14508360895087	13	VERB	VERB	v	VERB	VV	9	6	3	357	1	7919.92609	有	90.73333333333332	9.0	107.50718839015164	33.67491648096547
2272	2316	128	魅力，	102.26666666666668	141.60859986439934	14	NOUN	NOUN	n	NOUN	NN	10	1	4	34	2	14.0806	魅力	86.46666666666667	15.8	116.0860983159578	59.118186711028265
2273	2317	128	好	82.53333333333333	122.12172433910176	15	ADV	ADV	a	ADV	RB	11	1	4	312	1	10788.64225	好	82.53333333333333	0.0	122.12172433910176	0.0
2274	2318	128	鍾意	237.86666666666667	153.16173006190402	16	VERB	VERB	-	VERB		12	1	3	55	2	721.42393	鍾意	174.93333333333334	57.86666666666667	116.23279323074976	103.65253923030004
2275	2319	128	笑，	53.93333333333333	99.9136071258009	17	VERB	VERB	v	VERB		13	8	2	24	1	1108.22643	笑	53.93333333333333	0.0	99.9136071258009	0.0
2276	2320	128	同埋	256.53333333333336	246.06039005812283	18	CCONJ	CCONJ	v	CCONJ	CC	14	5	2	619	2	516.01275	同埋	157.66666666666666	60.4	110.3634400011566	107.48568896989651
2277	2321	128	想	92.0	118.64737670930614	19	AUX	AUX	v	AUX	MD	15	4	2	89	1	3200.02452	想	75.86666666666666	16.133333333333333	94.64098243126789	49.01410227906068
2278	2322	128	要	46.93333333333333	97.2176024299212	20	AUX	AUX	v	AUX	MD	16	1	4	109	1	3311.42695	要	33.46666666666667	13.466666666666669	77.6924420748605	50.38765280855575
