	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
3984	4040	226	，綿羊	NOUN	NOUN	ns	NOUN	NN	9	2	3	18	263.53333333333336	267.550585040578	25.05274543166161	16.315804064273834	2	2.48481	0.1140939597315436	149	3001.65364	1	True	False	130.86666666666667	59.06666666666667	105.17849378820536	101.89305940816358
3985	4041	226	都	ADV	ADV	d	ADV	RB	10	1	3	35	221.3333333333333	220.966563584227	6.364653587341309	4.17106294631958	1	14767.65553	0.1208053691275167	149	2.48481	2	False	False	129.8	80.53333333333333	119.35672024090924	157.15591691763382
3986	4042	226	係	VERB	VERB	zg	VERB		11	10	2	6	314.4	372.1843270925488	4.299288272857666	4.658996105194092	1	22827.14525	0.1275167785234899	149	14767.65553	1	False	False	128.4	86.73333333333333	114.78083463714664	117.27941943163869
3987	4043	226	噉	PRON	PRON	zg	PRON		12	1	5	3	306.06666666666666	292.4600181601277	4.788482666015625	6.529386043548584	1	0.41414	0.1342281879194631	149	22827.14525	1	False	False	156.93333333333334	111.8	149.84457132494174	131.58682811487375
3988	4044	226	食	VERB	VERB	v	VERB	VV	13	1	4	154	296.6	272.31888170549854	8.042740821838379	5.929629325866699	1	943.81466	0.1409395973154362	149	0.41414	1	False	False	185.9333333333333	59.6	143.30129874576232	99.43426639410248
3989	4045	226	晒	PART	PART	v	PART		14	3	3	16	282.06666666666666	249.8632870635905	11.256674766540527	10.601080894470217	1	742.95897	0.1476510067114094	149	943.81466	1	False	False	161.06666666666666	60.6	73.68443224695129	94.62402795625783
3990	4046	226	呢	PART	PRON	y	PRON		15	1	4	14	186.86666666666667	288.64300133940924	7.504034519195557	5.19781494140625	1	5998.7518	0.1543624161073825	149	742.95897	1	False	False	100.26666666666668	31.133333333333333	129.0769623992687	64.76096217801448
3991	4047	226	啲	NOUN	DET	zg	DET		16	1	4	1	38.0	79.05019502400569	2.22591233253479	2.269726514816284	1	4209.68671	0.1610738255033557	149	5998.7518	1	False	False	38.0	0.0	79.05019502400569	0.0
3992	4048	226	花	NOUN	NOUN	v	NOUN	NN	17	6	3	64	70.93333333333334	123.7279093638762	8.432833671569824	5.844057559967041	1	78.68573	0.1677852348993288	149	4209.68671	1	False	False	54.06666666666667	16.866666666666667	79.17109461301027	63.109287923587154
3993	4049	226	。唔	ADV	ADV	y	ADV		18	1	2	45	120.2	201.339911592312	10.315648078918455	7.387803077697754	1	13258.13186	0.174496644295302	149	78.68573	1	True	False	48.8	46.0	70.58158400036089	96.645744862358
3994	4050	226	通	VERB	VERB	v	VERB	VV	19	19	1	51	165.06666666666666	168.80500255883675	10.81729793548584	9.570725440979004	1	41.82768	0.1812080536912751	149	13258.13186	1	False	False	133.8	31.266666666666666	128.88765133505484	65.90140784198434
3995	4051	226	嘗試	VERB	VERB	vn	VERB	VV	20	1	2	45	427.9333333333333	262.3256161507848	18.64926290512085	18.112567901611328	2	122.16995	0.1879194630872483	149	41.82768	1	False	False	176.73333333333332	111.2	71.51733278645736	122.6546370913061
3996	4052	226	吓	PART	PART	v	PART		21	1	4	19	156.86666666666667	155.06337055826202	12.265100479125977	15.060938835144045	1	927.66338	0.1946308724832214	149	122.16995	2	False	False	132.13333333333333	24.73333333333333	135.01845141395384	63.07082438726237
3997	4053	226	去	VERB	VERB	v	VERB		22	2	3	57	23.0	52.53189507337423	9.920897483825684	7.331605911254883	1	4675.58908	0.2013422818791946	149	927.66338	1	False	False	23.0	0.0	52.53189507337423	0.0
3998	4054	226	了解	PART	PART	v	VERB	VV	23	1	4	68	185.53333333333333	234.250255543558	18.44429016113281	12.826097011566162	2	0.0	0.2080536912751678	149	4675.58908	1	False	False	106.8	57.333333333333336	119.04408147124884	112.23764470483552
3999	4055	226	點解	PRON	PRON	-	PRON		24	2	6	234	435.3333333333333	227.20348197644824	15.43509817123413	16.30099868774414	2	1626.30986	0.2147651006711409	149	0.0	2	False	False	195.66666666666663	144.2	78.9705993111079	111.75401558780784
4000	4056	226	啲	NOUN	DET	zg	DET		25	1	6	1	237.0	302.3884918445145	2.977445363998413	7.153242588043213	1	4209.68671	0.2214765100671141	149	1626.30986	2	False	False	131.13333333333333	73.93333333333334	144.83777898815703	140.81451945338904
4001	4057	226	花	NOUN	NOUN	v	NOUN	NN	26	3	5	64	154.6	238.80558340764705	2.908829927444458	1.2872021198272705	1	78.68573	0.2281879194630872	149	4209.68671	1	False	False	74.2	41.93333333333333	103.51437903338196	92.50691265461673
4002	4058	226	要	AUX	AUX	v	AUX	MD	27	2	15	109	212.9333333333333	258.9526254399098	9.88270664215088	9.867376327514648	1	3311.42695	0.2348993288590604	149	78.68573	1	False	False	115.86666666666666	52.46666666666667	114.3211072180267	94.43295093462991
4003	4059	226	大費周章	VERB	VERB	n	VERB		28	1	15	434	524.2	280.88199182812224	36.1836314201355	44.98297500610352	4	0.0	0.2416107382550335	149	3311.42695	1	False	False	196.46666666666667	185.06666666666663	86.00687311036381	129.05320177697604
4004	4060	226	生	VERB	VERB	vn	VERB	VV	29	9	14	108	129.2	150.33260901525435	10.412239074707031	8.74184799194336	1	232.74412	0.2483221476510067	149	0.0	4	False	False	111.33333333333331	17.866666666666667	128.7264109997979	66.8509453103611
4005	4061	226	啲	NOUN	DET	zg	DET		30	1	15	1	140.6	197.6224683582309	5.129773139953613	11.008073806762695	1	4209.68671	0.2550335570469799	149	232.74412	1	False	False	80.2	46.2	99.51294723133604	97.1138163874396
4006	4062	226	對	ADP	ADP	x	ADP	IN	31	1	16	98	268.2	288.4073970387491	10.12090301513672	11.089027404785156	1	2111.26245	0.261744966442953	149	4209.68671	1	False	False	119.8	109.33333333333331	104.4874474119579	168.27702028368446
4007	4063	226	佢哋	PRON	PRON	-	PRON		32	2	15	2	202.8	173.56312972518097	10.330801725387571	8.570985555648804	2	0.0	0.2684563758389262	149	2111.26245	1	False	False	173.66666666666666	29.133333333333333	131.5232129913026	74.30286371032784
4008	4064	226	完全	ADV	ADV	ad	ADV	RB	33	1	15	243	176.73333333333332	216.69747473276087	12.374693989753723	13.004445552825928	2	561.98179	0.2751677852348993	149	0.0	2	False	False	118.73333333333332	26.666666666666668	100.80573175943697	53.79301896053881
4009	4065	226	冇	VERB	VERB	zg	VERB		34	4	14	27	84.33333333333333	130.8029901119322	2.01542329788208	2.6104297637939453	1	3127.55082	0.2818791946308724	149	561.98179	2	False	False	69.2	15.133333333333333	100.92782900006652	56.62374845317899
4010	4066	226	用	VERB	VERB	p	VERB	VV	35	3	14	100	160.4	183.261852731731	7.857576847076416	5.403257369995117	1	1317.36482	0.2885906040268456	149	3127.55082	1	False	False	145.73333333333332	14.666666666666666	159.1986041256504	54.87764167268447
4011	4067	226	嘅	PART	PART	x	PART		36	1	15	1	102.2	129.21310563045324	3.300629138946533	3.7852487564086914	1	15735.49004	0.2953020134228188	149	1317.36482	1	False	False	84.2	8.666666666666666	95.43179065000648	32.42769735204082
4012	4068	226	刺	NOUN	NOUN	v	NOUN	NN	37	1	14	21	141.93333333333334	213.6390933846664	10.061739921569824	7.973175525665283	1	21.53504	0.3020134228187919	149	15735.49004	1	False	False	79.93333333333334	50.8	115.08458724878072	99.12429907276352
4013	4069	226	出嚟	VERB	VERB	-	VERB	VV	38	6	13	225	147.4	172.67225216191127	2.83052559942007	2.206127345561981	2	669.657	0.3087248322147651	149	21.53504	1	False	False	125.46666666666668	21.933333333333334	159.5008324603842	60.124833102101455
4014	4070	226	，真係	ADV	ADV	-	ADV		39	3	13	60	79.8	120.00288885411608	12.288536801934242	14.444755852222444	2	3320.53793	0.3154362416107382	149	669.657	2	True	False	79.8	0.0	120.00288885411608	0.0
4015	4071	226	唔	ADV	ADV	y	ADV		40	2	13	45	192.4	136.6342075274953	3.548330783843994	5.003416061401367	1	13258.13186	0.3221476510067114	149	3320.53793	2	False	False	172.8	19.6	122.82518742776934	73.33648478076927
4016	4072	226	重要	ADJ	ADJ	a	ADJ	JJ	41	1	13	205	194.46666666666667	186.61292083406823	18.66172862052917	9.36808145046234	2	235.64306	0.3288590604026846	149	13258.13186	1	False	False	153.53333333333333	23.066666666666663	112.44131308771206	66.32693436472262
4017	4073	226	咩	PRON	PRON	zg	PRON		42	4	12	1	56.266666666666666	105.39858738247976	11.71616554260254	13.500572204589844	1	4063.91104	0.3355704697986577	149	235.64306	2	False	False	45.06666666666667	11.2	78.4282828803204	41.90656273186814
4018	4074	226	？唔通	ADV	ADV	-	ADV		43	1	12	96	198.46666666666667	144.67013820719495	13.767709255218506	26.24794578552246	2	305.63195	0.3422818791946309	149	4063.91104	1	True	False	153.53333333333333	39.13333333333333	114.66465114507706	80.86768342312165
4019	4075	226	綿羊	NOUN	NOUN	ns	NOUN	NN	44	4	11	18	225.6	223.71106365130893	15.596871569752691	20.628998642787337	2	2.48481	0.348993288590604	149	305.63195	2	False	False	162.06666666666666	27.666666666666668	132.18344155839725	55.80163279172235
4020	4076	226	同	ADP	ADP	p	ADP	IN	45	1	12	536	147.4	272.3773852580276	8.223615646362305	7.026785850524902	1	4553.41912	0.3557046979865771	149	2.48481	2	False	False	91.13333333333334	12.133333333333333	126.64799862435866	45.39877629285715
4021	4077	226	花	VERB	VERB	v	VERB		46	2	11	64	176.86666666666667	132.0246778278802	9.668900489807127	4.871285915374756	1	78.68573	0.3624161073825503	149	4553.41912	1	False	False	175.26666666666668	1.6	130.33007668565568	5.986651818838303
4022	4078	226	之間	ADV	ADV	f	ADV		47	1	12	123	203.06666666666663	153.9144639799074	7.504685819149017	9.923618733882904	2	239.37028	0.3691275167785235	149	78.68573	1	False	False	164.73333333333332	38.333333333333336	115.33572251860603	77.47400997897437
4023	4079	226	嘅	PART	PART	x	PART		48	7	10	1	59.46666666666667	103.17032303698362	4.667293548583984	1.011157512664795	1	15735.49004	0.3758389261744966	149	239.37028	2	False	False	59.46666666666667	0.0	103.17032303698362	0.0
4024	4080	226	戰爭	NOUN	NOUN	n	NOUN	NN	49	1	11	62	123.8	125.91595080317134	14.191432237625122	11.923987984657288	2	21.53504	0.3825503355704698	149	15735.49004	1	False	False	109.66666666666669	14.133333333333333	110.968263731373	52.88209106640503
4025	4081	226	，真係	ADV	ADV	-	ADV		50	3	10	60	117.26666666666668	176.13194549036874	8.930888887494802	11.089586213231089	2	3320.53793	0.3892617449664429	149	21.53504	2	True	False	90.53333333333332	15.0	116.44848169421913	56.12486080160912
4026	4082	226	唔	ADV	ADV	y	ADV		51	2	10	45	285.93333333333334	202.0404139990039	2.41912579536438	4.233415603637695	1	13258.13186	0.3959731543624161	149	3320.53793	2	False	False	196.06666666666663	89.86666666666666	116.26433483900192	137.01866863882293
4027	4083	226	重要	ADJ	ADJ	a	ADJ	JJ	52	1	10	205	70.06666666666666	191.13083360765097	6.127222609706223	3.537305995821953	2	235.64306	0.4026845637583892	149	13258.13186	1	False	False	63.4	6.666666666666667	167.5135019433757	24.944382578492945
4028	4084	226	咩	PRON	PRON	zg	PRON		53	8	9	1	42.93333333333333	87.06967835526264	3.2318553924560547	11.454694747924805	1	4063.91104	0.4093959731543624	149	235.64306	2	False	False	42.93333333333333	0.0	87.06967835526264	0.0
